player_id,player_name,team_name,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PM_total,PM_per_game,PM_per100,PACE,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,USG_pct,ORB_pct,DRB_pct,TRB_pct,STL_per100poss,BLK_per100poss,Foul_per_poss,FT_allowed_rate_per100,FT_rate,rapm_per100,orapm_per100,drapm_per100,on_court_poss,games_played,poss_per_game
77,馬建豪,福爾摩沙夢想家,33,3846,4687.0,58571.0,976.18,976:11,1774.88,29.58,29:35,492.0,14.91,10.5,18.14,413.0,12.52,8.81,15.23,161.0,4.88,3.44,5.94,176.0,5.33,3.76,6.49,79.0,2.39,1.69,2.91,237.0,7.18,5.06,8.74,82.0,2.48,1.75,3.02,119.0,3.61,2.54,4.39,88.0,2.67,1.88,3.25,24.0,0.73,0.51,0.89,94.0,2.85,2.01,3.47,70.0,2.12,1.49,2.58,24.0,0.73,0.51,0.89,8.0,0.24,0.17,0.3,73.0,2.21,1.56,2.69,99.0,3.0,2.11,3.65,440.0,13.33,9.39,16.23,43.01,40.73,2.28,107.0,3.24,2.28,115.23,0.49,0.53,0.45,0.35,0.74,0.14,0.13,11.49,0.03,0.23,0.1,0.51,0.17,0.02,9.39,0.29,1.37,0.86,-0.43,4687.0,33,142.0
79,張宗憲,福爾摩沙夢想家,23,1671,1976.0,24886.0,414.77,414:46,1082.0,18.03,18:02,135.0,5.87,6.83,11.72,130.0,5.65,6.58,11.28,51.0,2.22,2.58,4.43,105.0,4.57,5.31,9.11,45.0,1.96,2.28,3.91,25.0,1.09,1.27,2.17,6.0,0.26,0.3,0.52,36.0,1.57,1.82,3.12,27.0,1.17,1.37,2.34,7.0,0.3,0.35,0.61,30.0,1.3,1.52,2.6,33.0,1.43,1.67,2.86,11.0,0.48,0.56,0.95,1.0,0.04,0.05,0.09,38.0,1.65,1.92,3.3,24.0,1.04,1.21,2.08,186.0,8.09,9.41,16.14,42.91,41.75,1.16,23.0,1.0,1.16,114.34,0.42,0.46,0.43,0.24,0.75,0.21,0.13,9.3,0.02,0.2,0.08,0.56,0.05,0.01,9.41,0.28,-0.05,0.42,0.37,1976.0,23,85.9
86,林俊吉,福爾摩沙夢想家,30,3374,4099.0,51320.0,855.33,855:20,1710.67,28.51,28:31,422.0,14.07,10.3,17.76,296.0,9.87,7.22,12.46,138.0,4.6,3.37,5.81,175.0,5.83,4.27,7.37,87.0,2.9,2.12,3.66,121.0,4.03,2.95,5.09,51.0,1.7,1.24,2.15,113.0,3.77,2.76,4.76,95.0,3.17,2.32,4.0,23.0,0.77,0.56,0.97,75.0,2.5,1.83,3.16,145.0,4.83,3.54,6.1,25.0,0.83,0.61,1.05,0.0,0.0,0.0,0.0,88.0,2.93,2.15,3.7,65.0,2.17,1.59,2.74,414.0,13.8,10.1,17.42,42.94,40.77,2.17,89.0,2.97,2.17,115.01,0.55,0.61,0.5,0.42,0.84,0.2,0.3,10.58,0.04,0.21,0.1,0.61,0.0,0.02,10.1,0.38,0.08,0.17,0.07,4099.0,30,136.6
104,貝奇,福爾摩沙夢想家,31,4217,5114.0,64191.0,1069.85,1069:51,2070.68,34.51,34:31,552.0,17.81,10.79,18.57,447.0,14.42,8.74,15.04,172.0,5.55,3.36,5.79,137.0,4.42,2.68,4.61,59.0,1.9,1.15,1.99,310.0,10.0,6.06,10.43,113.0,3.65,2.21,3.8,122.0,3.94,2.39,4.11,95.0,3.06,1.86,3.2,46.0,1.48,0.9,1.55,260.0,8.39,5.08,8.75,55.0,1.77,1.08,1.85,58.0,1.87,1.13,1.95,15.0,0.48,0.29,0.5,83.0,2.68,1.62,2.79,135.0,4.35,2.64,4.54,514.0,16.58,10.05,17.3,44.23,40.81,3.42,175.0,5.65,3.42,114.72,0.51,0.55,0.43,0.36,0.78,0.14,0.09,11.41,0.06,0.44,0.21,1.13,0.29,0.03,10.05,0.27,3.73,2.65,-0.91,5114.0,31,165.0
106,高柏鎧,福爾摩沙夢想家,31,3522,4271.0,54805.0,913.42,913:25,1767.9,29.47,29:28,352.0,11.35,8.24,13.87,205.0,6.61,4.8,8.08,140.0,4.52,3.28,5.52,202.0,6.52,4.73,7.96,140.0,4.52,3.28,5.52,3.0,0.1,0.07,0.12,0.0,0.0,0.0,0.0,141.0,4.55,3.3,5.56,72.0,2.32,1.69,2.84,96.0,3.1,2.25,3.78,211.0,6.81,4.94,8.32,36.0,1.16,0.84,1.42,35.0,1.13,0.82,1.38,99.0,3.19,2.32,3.9,65.0,2.1,1.52,2.56,144.0,4.65,3.37,5.68,397.0,12.81,9.3,15.65,42.78,40.53,2.25,96.0,3.1,2.25,112.22,0.68,0.66,0.69,0.0,0.51,0.2,0.07,7.77,0.13,0.41,0.25,0.82,2.32,0.03,9.3,0.69,1.22,0.87,-0.47,4271.0,31,137.8
39,魏嘉豪,新北中信特攻,35,3312,4059.0,52264.0,871.07,871:04,1493.26,24.89,24:53,220.0,6.29,5.42,9.09,253.0,7.23,6.23,10.46,90.0,2.57,2.22,3.72,149.0,4.26,3.67,6.16,62.0,1.77,1.53,2.56,104.0,2.97,2.56,4.3,28.0,0.8,0.69,1.16,31.0,0.89,0.76,1.28,12.0,0.34,0.3,0.5,35.0,1.0,0.86,1.45,68.0,1.94,1.68,2.81,105.0,3.0,2.59,4.34,66.0,1.89,1.63,2.73,3.0,0.09,0.07,0.12,70.0,2.0,1.72,2.89,99.0,2.83,2.44,4.09,412.0,11.77,10.15,17.03,38.53,39.54,-1.01,-41.0,-1.17,-1.01,111.84,0.41,0.41,0.42,0.27,0.39,0.21,0.21,8.29,0.05,0.2,0.1,1.63,0.07,0.02,10.15,0.12,0.75,-0.24,-0.88,4059.0,35,116.0
40,謝亞軒,新北中信特攻,36,4979,6023.0,77078.0,1284.63,1284:38,2141.06,35.68,35:41,432.0,12.0,7.17,12.11,441.0,12.25,7.32,12.36,156.0,4.33,2.59,4.37,190.0,5.28,3.15,5.32,76.0,2.11,1.26,2.13,251.0,6.97,4.17,7.03,80.0,2.22,1.33,2.24,55.0,1.53,0.91,1.54,40.0,1.11,0.66,1.12,40.0,1.11,0.66,1.12,117.0,3.25,1.94,3.28,137.0,3.81,2.27,3.84,66.0,1.83,1.1,1.85,11.0,0.31,0.18,0.31,80.0,2.22,1.33,2.24,49.0,1.36,0.81,1.37,601.0,16.69,9.98,16.84,38.75,40.53,-1.78,-107.0,-2.97,-1.78,112.52,0.44,0.46,0.4,0.32,0.73,0.15,0.19,9.05,0.04,0.21,0.1,1.1,0.18,0.01,9.98,0.12,-0.08,0.17,0.3,6023.0,36,167.3
45,施晉堯,新北中信特攻,36,3327,4035.0,51564.0,859.4,859:24,1432.33,23.87,23:52,221.0,6.14,5.48,9.26,240.0,6.67,5.95,10.05,84.0,2.33,2.08,3.52,123.0,3.42,3.05,5.15,56.0,1.56,1.39,2.35,117.0,3.25,2.9,4.9,28.0,0.78,0.69,1.17,42.0,1.17,1.04,1.76,25.0,0.69,0.62,1.05,27.0,0.75,0.67,1.13,85.0,2.36,2.11,3.56,59.0,1.64,1.46,2.47,33.0,0.92,0.82,1.38,3.0,0.08,0.07,0.13,51.0,1.42,1.26,2.14,91.0,2.53,2.26,3.81,419.0,11.64,10.38,17.55,35.46,39.68,-4.21,-170.0,-4.72,-4.21,112.68,0.41,0.43,0.46,0.24,0.6,0.16,0.13,7.67,0.04,0.24,0.1,0.82,0.07,0.02,10.38,0.18,-2.17,-2.8,-0.6,4035.0,36,112.1
50,銳尼,新北中信特攻,6,855,1039.0,13563.0,226.05,226:03,2260.5,37.68,37:40,71.0,11.83,6.83,11.31,69.0,11.5,6.64,10.99,25.0,4.17,2.41,3.98,44.0,7.33,4.23,7.01,17.0,2.83,1.64,2.71,25.0,4.17,2.41,3.98,8.0,1.33,0.77,1.27,19.0,3.17,1.83,3.03,13.0,2.17,1.25,2.07,19.0,3.17,1.83,3.03,53.0,8.83,5.1,8.44,13.0,2.17,1.25,2.07,9.0,1.5,0.87,1.43,2.0,0.33,0.19,0.32,15.0,2.5,1.44,2.39,12.0,2.0,1.15,1.91,101.0,16.83,9.72,16.08,35.61,40.81,-5.2,-54.0,-9.0,-5.2,110.31,0.42,0.46,0.39,0.32,0.68,0.16,0.11,8.89,0.09,0.4,0.21,0.87,0.19,0.01,9.72,0.28,-0.62,-0.73,0.34,1039.0,6,173.2
53,葛瑞飛,新北中信特攻,7,825,1014.0,12711.0,211.85,211:51,1815.86,30.26,30:16,97.0,13.86,9.57,16.48,92.0,13.14,9.07,15.63,39.0,5.57,3.85,6.63,72.0,10.29,7.1,12.24,35.0,5.0,3.45,5.95,20.0,2.86,1.97,3.4,4.0,0.57,0.39,0.68,23.0,3.29,2.27,3.91,15.0,2.14,1.48,2.55,27.0,3.86,2.66,4.59,51.0,7.29,5.03,8.67,5.0,0.71,0.49,0.85,6.0,0.86,0.59,1.02,5.0,0.71,0.49,0.85,9.0,1.29,0.89,1.53,16.0,2.29,1.58,2.72,87.0,12.43,8.58,14.78,37.57,38.76,-1.18,-12.0,-1.71,-1.18,114.87,0.45,0.47,0.49,0.2,0.65,0.08,0.05,10.96,0.14,0.42,0.25,0.59,0.49,0.02,8.58,0.25,0.13,-0.11,-0.41,1014.0,7,144.9
107,霍爾曼,福爾摩沙夢想家,17,1922,2332.0,29045.0,484.08,484:05,1708.53,28.48,28:29,287.0,16.88,12.31,21.34,260.0,15.29,11.15,19.34,99.0,5.82,4.25,7.36,144.0,8.47,6.17,10.71,71.0,4.18,3.04,5.28,116.0,6.82,4.97,8.63,28.0,1.65,1.2,2.08,78.0,4.59,3.34,5.8,61.0,3.59,2.62,4.54,42.0,2.47,1.8,3.12,138.0,8.12,5.92,10.26,54.0,3.18,2.32,4.02,17.0,1.0,0.73,1.26,26.0,1.53,1.11,1.93,51.0,3.0,2.19,3.79,34.0,2.0,1.46,2.53,245.0,14.41,10.51,18.22,44.17,40.05,4.12,96.0,5.65,4.12,115.62,0.43,0.49,0.49,0.24,0.78,0.15,0.21,14.81,0.11,0.45,0.25,0.73,1.11,0.01,10.51,0.3,1.51,1.5,-0.52,2332.0,17,137.2
49,浩勝,新北中信特攻,3,357,453.0,5316.0,88.6,88:36,1772.0,29.53,29:32,53.0,17.67,11.7,21.53,54.0,18.0,11.92,21.94,23.0,7.67,5.08,9.35,53.0,17.67,11.7,21.53,23.0,7.67,5.08,9.35,1.0,0.33,0.22,0.41,0.0,0.0,0.0,0.0,15.0,5.0,3.31,6.09,7.0,2.33,1.55,2.84,17.0,5.67,3.75,6.91,32.0,10.67,7.06,13.0,5.0,1.67,1.1,2.03,3.0,1.0,0.66,1.22,2.0,0.67,0.44,0.81,8.0,2.67,1.77,3.25,7.0,2.33,1.55,2.84,40.0,13.33,8.83,16.25,35.1,35.32,-0.22,-1.0,-0.33,-0.22,122.71,0.43,0.44,0.43,0.0,0.47,0.12,0.13,15.14,0.2,0.58,0.35,0.66,0.44,0.02,8.83,0.28,0.25,-0.51,-0.96,453.0,3,151.0
